"First Name","Last Name","Email","Phone","Credit Card","SSN","DOB","City","State"
"Bill","Johnson","bill_johnson@gmail.com","414-555-1212","4111 1111 1111 1111","110-00-7437","3/1/1999","Las Vegas","NV"
"Bob","Rogers","bob_rogers@abc.com","864-555-1212","3400 000000 00009","363-00-7559","6/26/1990","Riverside","CA"
"Sally","Doe","sally_doe@abc.com","328-555-1212","5105 1051 0510 5100","235-00-1281","9/11/1997","Corpus Christi","TX"
"Sara","Miller","sara_miller@abc.com","612-555-1212","3000 000000 0004","449-00-1178","9/12/1990","Oakland","CA"
"Joe","Miller","joe_miller@xyz.com","766-555-1212","3000 000000 0004","237-00-9525","2/27/2012","Riverside","CA"
"Joe","Davis","joe_davis@yahoo.com","969-555-1212","3000 000000 0004","537-00-7350","1/2/2012","San Jose","CA"
"Sara","Smith","sara_smith@gmail.com","544-555-1212","6011 0000 0000 0004","294-00-3626","11/14/2001","Sacramento","CA"
"Sally","Williams","sally_williams@abc.com","995-555-1212","3000 000000 0004","459-00-3174","2/2/2012","Toledo","OH"
"Mary","Jones","mary_jones@abc.com","573-555-1212","5105 1051 0510 5100","318-00-5910","6/24/2012","San Antonio","TX"
"Tim","Roberts","tim_roberts@outlook.com","937-555-1212","4111 1111 1111 1111","318-00-6204","10/18/1988","Milwaukee","WI"
"Jane","Brown","jane_brown@yahoo.com","659-555-1212","6011 0000 0000 0004","421-00-9237","2/11/2005","Fort Worth","TX"
"Jane","Brown","jane_brown@outlook.com","492-555-1212","3400 000000 00009","531-00-6409","9/8/1980","Newark","NJ"
"Sara","Miller","sara_miller@gmail.com","421-555-1212","3400 000000 00009","350-00-1042","10/20/1997","San Antonio","TX"
"Mary","Williams","mary_williams@abc.com","381-555-1212","5105 1051 0510 5100","083-00-8086","1/6/1980","Milwaukee","WI"
"Bill","Miller","bill_miller@hotmail.com","656-555-1212","4111 1111 1111 1111","575-00-7777","10/23/1980","San Antonio","TX"
"Mary","Thomas","mary_thomas@hotmail.com","249-555-1212","3400 000000 00009","408-00-4223","10/26/2001","Jersey City","NJ"
"Tim","Miller","tim_miller@hotmail.com","326-555-1212","3400 000000 00009","074-00-4397","9/21/1997","Riverside","CA"
"Sara","Rogers","sara_rogers@hotmail.com","594-555-1212","4111 1111 1111 1111","028-00-3535","4/1/2005","Raleigh","NC"
"John","Roberts","john_roberts@abc.com","363-555-1212","6011 0000 0000 0004","213-00-2563","4/4/2001","Tulsa","OK"
"Sara","Smith","sara_smith@gmail.com","561-555-1212","5105 1051 0510 5100","288-00-6282","1/7/2005","St. Louis","MO"
"Sara","Miller","sara_miller@xyz.com","626-555-1212","6011 0000 0000 0004","306-00-7427","10/18/1988","Henderson","NV"
"Mary","Thomas","mary_thomas@outlook.com","482-555-1212","6011 0000 0000 0004","333-00-7748","3/11/2010","El Paso","TX"
"Tim","Miller","tim_miller@outlook.com","494-555-1212","4111 1111 1111 1111","137-00-9804","9/7/2001","Portland","OR"
"Sue","Brown","sue_brown@gmail.com","913-555-1212","3400 000000 00009","035-00-9882","7/8/1978","Denver","CO"
"Paul","Johnson","paul_johnson@hotmail.com","804-555-1212","4111 1111 1111 1111","316-00-2687","1/17/2005","Honolulu","HI"
"Tim","Roberts","tim_roberts@abc.com","630-555-1212","4111 1111 1111 1111","278-00-5926","7/18/2012","Dallas","TX"
"Sara","Williams","sara_williams@gmail.com","743-555-1212","4111 1111 1111 1111","447-00-8531","7/16/1999","Kansas City","MO"
"Bill","Smith","bill_smith@xyz.com","626-555-1212","6011 0000 0000 0004","079-00-5731","3/11/1980","El Paso","TX"
"Jane","Williams","jane_williams@gmail.com","847-555-1212","4111 1111 1111 1111","228-00-7118","7/22/1988","Kansas City","MO"
"Joe","Thomas","joe_thomas@abc.com","596-555-1212","3000 000000 0004","029-00-6155","2/9/1997","Henderson","NV"
"Sally","Davis","sally_davis@hotmail.com","534-555-1212","4111 1111 1111 1111","210-00-1783","8/10/2012","Stockton","CA"
"Jane","Brown","jane_brown@abc.com","889-555-1212","6011 0000 0000 0004","391-00-2292","2/19/2005","Baltimore","MD"
"Bill","Rogers","bill_rogers@abc.com","932-555-1212","3400 000000 00009","143-00-6102","9/17/1990","Honolulu","HI"
"Mary","Brown","mary_brown@gmail.com","411-555-1212","6011 0000 0000 0004","116-00-3722","2/5/2012","Wichita","KS"
"John","Miller","john_miller@gmail.com","360-555-1212","5105 1051 0510 5100","022-00-8021","11/20/2012","Aurora","CO"
"Mary","Miller","mary_miller@hotmail.com","813-555-1212","4111 1111 1111 1111","283-00-8808","10/13/1988","Honolulu","HI"
"Paul","Doe","paul_doe@yahoo.com","283-555-1212","3400 000000 00009","238-00-4212","7/16/1997","Las Vegas","NV"
"Sara","Rogers","sara_rogers@gmail.com","203-555-1212","3000 000000 0004","045-00-4351","11/16/1999","Oklahoma City","OK"
"John","Davis","john_davis@gmail.com","212-555-1212","4111 1111 1111 1111","498-00-7972","8/10/2001","Lexington","KY"
"Jane","Smith","jane_smith@outlook.com","360-555-1212","6011 0000 0000 0004","082-00-3323","8/9/1990","Cleveland","OH"
"John","Brown","john_brown@hotmail.com","696-555-1212","3400 000000 00009","005-00-3045","3/13/2010","Henderson","NV"
"Paul","Smith","paul_smith@outlook.com","402-555-1212","6011 0000 0000 0004","350-00-2282","6/5/1990","Los Angeles","CA"
"Mary","Davis","mary_davis@hotmail.com","789-555-1212","3000 000000 0004","113-00-5370","5/22/1999","Dallas","TX"
"Sara","Roberts","sara_roberts@yahoo.com","922-555-1212","5105 1051 0510 5100","064-00-8095","7/2/2001","Toledo","OH"
"Sara","Doe","sara_doe@gmail.com","865-555-1212","5105 1051 0510 5100","448-00-9469","3/14/1990","Tucson","AZ"
"Joe","Brown","joe_brown@abc.com","901-555-1212","6011 0000 0000 0004","202-00-7791","8/5/1988","Plano","TX"
"Joe","Thomas","joe_thomas@yahoo.com","551-555-1212","6011 0000 0000 0004","265-00-2446","11/2/1999","Milwaukee","WI"
"Tim","Rogers","tim_rogers@yahoo.com","417-555-1212","4111 1111 1111 1111","482-00-9128","1/8/2010","Louisville","KY"
"Bob","Miller","bob_miller@abc.com","937-555-1212","3000 000000 0004","443-00-1623","4/27/2001","Lincoln","NE"
"Bob","Brown","bob_brown@hotmail.com","781-555-1212","5105 1051 0510 5100","428-00-7621","10/7/2010","Charlotte","NC"
"Joe","Johnson","joe_johnson@hotmail.com","900-555-1212","6011 0000 0000 0004","011-00-2838","7/2/1978","St. Louis","MO"
"Mary","Williams","mary_williams@outlook.com","363-555-1212","4111 1111 1111 1111","068-00-3392","9/27/2005","Seattle","WA"
"Sally","Roberts","sally_roberts@outlook.com","737-555-1212","3000 000000 0004","490-00-6286","10/17/2005","Honolulu","HI"
"John","Brown","john_brown@abc.com","740-555-1212","3400 000000 00009","228-00-8064","4/27/1980","St. Louis","MO"
"Sue","Smith","sue_smith@xyz.com","743-555-1212","5105 1051 0510 5100","142-00-6002","10/2/2012","Long Beach","CA"
"Sue","Davis","sue_davis@abc.com","902-555-1212","4111 1111 1111 1111","519-00-6058","6/6/1990","Seattle","WA"
"Sue","Davis","sue_davis@abc.com","358-555-1212","3400 000000 00009","012-00-7677","3/26/1999","Milwaukee","WI"
"John","Thomas","john_thomas@hotmail.com","218-555-1212","6011 0000 0000 0004","026-00-9751","2/23/1988","Minneapolis","MN"
"Julie","Johnson","julie_johnson@abc.com","870-555-1212","4111 1111 1111 1111","334-00-7764","6/7/2001","Henderson","NV"
"Bill","Williams","bill_williams@hotmail.com","229-555-1212","5105 1051 0510 5100","083-00-7847","3/22/1990","Riverside","CA"
"Sally","Williams","sally_williams@gmail.com","254-555-1212","6011 0000 0000 0004","259-00-7096","8/10/1999","Santa Ana","CA"
"Joe","Johnson","joe_johnson@outlook.com","871-555-1212","4111 1111 1111 1111","073-00-2991","7/15/1997","Austin","TX"
"Tim","Davis","tim_davis@outlook.com","388-555-1212","5105 1051 0510 5100","386-00-9373","4/19/1990","Jacksonville","FL"
"Sara","Smith","sara_smith@gmail.com","686-555-1212","3400 000000 00009","410-00-6792","10/15/1997","San Diego","CA"
"Jerry","Johnson","jerry_johnson@abc.com","704-555-1212","5105 1051 0510 5100","227-00-6355","11/11/1999","Houston","TX"
"Tim","Williams","tim_williams@hotmail.com","563-555-1212","5105 1051 0510 5100","335-00-2836","3/3/1978","Jacksonville","FL"
"Sue","Rogers","sue_rogers@hotmail.com","541-555-1212","5105 1051 0510 5100","207-00-8513","3/18/2001","Henderson","NV"
"Mary","Thomas","mary_thomas@yahoo.com","550-555-1212","3000 000000 0004","004-00-8073","6/25/1990","Plano","TX"
